size,time,path,cost
4,0.0009,"[0, 4, 8, 14, 5, 2, 9, 12, 15, 10, 6, 7, 3, 11, 13, 1, 0]",5331.1115
4,0.0009,"[0, 15, 11, 1, 2, 3, 4, 5, 12, 8, 13, 14, 9, 6, 10, 7, 0]",3650.5381
4,0.001,"[0, 10, 3, 14, 8, 12, 15, 6, 9, 4, 2, 5, 7, 11, 13, 1, 0]",4760.5991
4,0.0009,"[0, 7, 14, 3, 11, 10, 13, 8, 1, 5, 4, 6, 12, 2, 15, 9, 0]",4178.4114
4,0.0009,"[0, 5, 11, 8, 2, 4, 14, 9, 7, 6, 10, 1, 3, 12, 15, 13, 0]",4325.6272
4,0.0009,"[0, 2, 4, 11, 12, 15, 14, 8, 10, 13, 3, 5, 1, 9, 6, 7, 0]",4534.5245
4,0.001,"[0, 6, 2, 14, 12, 15, 11, 5, 9, 8, 4, 13, 10, 1, 7, 3, 0]",4696.9785
4,0.0009,"[0, 12, 7, 2, 4, 10, 5, 6, 1, 3, 8, 13, 11, 9, 14, 15, 0]",4408.0053
4,0.0009,"[0, 2, 15, 4, 14, 12, 1, 9, 13, 11, 7, 10, 3, 8, 5, 6, 0]",4166.0119
4,0.0009,"[0, 4, 11, 2, 5, 15, 14, 12, 9, 8, 7, 13, 6, 10, 1, 3, 0]",4302.1537
4,0.001,"[0, 15, 12, 9, 3, 6, 2, 5, 8, 7, 1, 13, 11, 4, 10, 14, 0]",4080.3225
4,0.001,"[0, 3, 9, 12, 1, 14, 7, 11, 15, 8, 5, 4, 6, 13, 10, 2, 0]",3863.7709
4,0.0009,"[0, 13, 9, 4, 8, 3, 1, 2, 12, 6, 15, 11, 10, 5, 14, 7, 0]",4437.2525
4,0.0009,"[0, 10, 11, 4, 7, 15, 14, 3, 9, 13, 5, 12, 1, 6, 2, 8, 0]",4637.5253
4,0.001,"[0, 2, 8, 11, 6, 14, 15, 5, 13, 12, 3, 1, 7, 4, 10, 9, 0]",5300.4214
4,0.0009,"[0, 7, 14, 6, 9, 5, 10, 1, 2, 15, 11, 13, 8, 12, 4, 3, 0]",3831.9851
4,0.0009,"[0, 13, 15, 4, 5, 8, 6, 10, 7, 11, 1, 12, 14, 3, 9, 2, 0]",5205.7479
4,0.0011,"[0, 8, 7, 11, 2, 9, 13, 12, 14, 6, 15, 10, 5, 4, 1, 3, 0]",3229.4384
4,0.001,"[0, 6, 11, 8, 1, 4, 10, 12, 15, 14, 5, 3, 7, 9, 2, 13, 0]",4216.229
4,0.0009,"[0, 14, 11, 5, 7, 4, 3, 8, 6, 12, 15, 13, 2, 1, 9, 10, 0]",3638.4043
4,0.0009,"[0, 3, 11, 7, 2, 6, 8, 5, 9, 12, 15, 1, 13, 14, 4, 10, 0]",4853.9184
4,0.0009,"[0, 9, 1, 13, 5, 7, 14, 10, 15, 6, 8, 11, 12, 4, 2, 3, 0]",4256.596
4,0.001,"[0, 3, 15, 5, 9, 1, 7, 2, 14, 11, 13, 8, 4, 12, 10, 6, 0]",3158.825
4,0.0009,"[0, 5, 9, 1, 3, 14, 2, 15, 12, 7, 4, 10, 6, 8, 13, 11, 0]",3841.8023
4,0.0009,"[0, 2, 4, 11, 1, 13, 10, 9, 8, 15, 6, 3, 12, 7, 14, 5, 0]",3665.2671
4,0.0009,"[0, 12, 10, 3, 1, 5, 2, 9, 7, 8, 4, 11, 15, 13, 6, 14, 0]",4590.9019
4,0.001,"[0, 1, 4, 7, 15, 9, 2, 13, 8, 12, 3, 11, 5, 14, 6, 10, 0]",3968.0372
4,0.0009,"[0, 15, 9, 5, 13, 3, 4, 10, 12, 8, 11, 7, 1, 6, 2, 14, 0]",3157.6673
